Ticker,Date,5 Days Ahead,Pre-ECD,Start Price,End Price,Return,Return or not to Return
AAPL,1/29/19,2/3/19,1/28/19,156.3,171.25,9.56%,1
ATTO,3/20/19,3/25/19,3/19/19,3.94,3.39,-13.96%,0
CAG,3/21/19,3/26/19,3/20/19,22.9,27.12,18.43%,1
CCRO3,3/22/19,3/26/19,3/21/19,12.3,11.75,-4.47%,0
CSIQ,3/21/19,3/26/19,3/20/19,23.62,18.2,-22.95%,0
FDX,3/19/19,3/24/19,3/18/19,182.4,172.07,-5.66%,0
GES,3/20/19,3/25/19,3/19/19,22.52,18.47,-17.98%,0
GIII,3/21/19,3/26/19,3/20/19,35.16,38.13,8.45%,1
GIS,3/20/19,3/25/19,3/19/19,47.24,51.09,8.15%,1
HIBB,3/22/19,3/26/19,3/21/19,18.04,21.27,17.90%,1
INTL,1/24/19,1/29/19,1/23/19,37.4,37.51,0.29%,1
LE,3/21/19,3/26/19,3/20/19,17.21,15.89,-7.67%,0
MIK,3/19/19,3/24/19,3/18/19,11.79,11.11,-5.77%,0
MLHR,3/20/19,3/25/19,3/19/19,35.93,34.69,-3.45%,0
MU,3/20/19,3/25/19,3/19/19,40.37,40.55,0.45%,1
NKE,3/21/19,3/26/19,3/20/19,86.69,83.38,-3.82%,0
RAVN,3/21/19,3/26/19,3/20/19,38.59,37.88,-1.84%,0
REV,3/18/19,3/23/19,3/17/19,19.35,20.6,6.46%,1
TCPC,2/28/19,3/5/19,2/27/19,14.58,14.23,-2.40%,0
TIC,3/21/19,3/26/19,3/20/19,0.85,0.9,5.88%,1
TIF,3/22/19,3/26/19,3/21/19,100.06,103.13,3.07%,1
WMT,2/19/19,2/24/19,2/18/19,102.2,99.12,-3.01%,0
WPM,3/21/19,3/26/19,3/20/19,22.96,25.09,9.28%,1